tsne_1,tsne_2
-14.707039,-41.249813
54.606857,25.18542
-19.794952,16.157064
-38.64378,-35.13331
-30.53727,-36.356926
15.931645,-30.498657
-23.830076,-29.970259
20.154491,-46.723938
-21.317825,-36.011906
51.12789,-18.719393
46.192432,-19.25859
43.617065,33.258556
9.61409,26.413986
-26.654247,-33.648052
26.617186,-40.8686
-67.43229,9.841554
-39.129753,22.47475
-40.33144,0.20652391
-66.08714,18.001883
-44.366753,-12.501561
-13.263898,-9.027427
-47.702618,-5.866971
-61.843006,-6.8323402
38.907265,5.283743
-32.781433,37.321163
-1.6775004,-11.257186
-11.098918,47.11804
24.01655,29.60525
5.498037,10.174777
28.097178,-13.476399
-33.76381,5.406265
-8.688323,38.83317
-34.302917,-15.961758
43.68717,-18.653214
2.5539906,35.587822
-11.126701,-29.905582
7.8321543,16.44779
-9.857391,-9.213232
59.18953,-18.604555
-10.418589,36.95129
-68.9391,3.0180607
-25.209879,-3.3277605
55.67878,22.922718
33.13827,-17.306818
-37.657898,-30.321245
-13.698494,-11.062612
-65.3445,8.469195
-2.7828436,-42.604427
47.001278,-32.569107
9.513829,-37.46724
22.046085,10.698385
7.827636,-27.84435
60.88962,1.0470266
17.072187,43.73995
50.836323,-10.625067
-46.583576,16.124947
-58.54112,-0.7979935
-57.71892,-11.508778
23.63275,-35.315624
18.808105,-30.264421
-0.04478751,36.516903
-14.154893,-30.321188
-32.99095,35.63776
-66.687004,12.388291
-35.366177,23.174425
-9.438639,-32.11394
-35.994534,34.602207
24.622334,1.4592534
-11.881808,-11.582351
-49.542957,-5.6070876
15.97476,-20.668468
43.865364,0.14518064
57.593857,-16.607985
-50.45726,-5.924642
3.3131154,2.175199
-16.04826,-19.774698
-58.805927,-8.526703
13.774894,-40.2388
-15.118572,26.614655
-39.07963,-16.120722
-46.910847,-11.749396
23.296652,26.865545
-32.55498,21.357782
-59.229572,6.1229763
-34.382298,-24.671343
-51.582813,-21.643583
-6.8124933,27.484234
-67.82921,11.067693
-63.197495,-0.21009907
-56.54051,23.734795
-15.595158,19.65303
-47.958443,-10.879063
-39.623222,28.858412
-58.326443,14.581098
-22.762682,34.2976
-41.253304,30.201082
-20.037243,31.613773
23.60331,2.0647001
-9.574046,12.047341
46.523376,-12.384246
-9.265145,51.361057
-67.81043,12.4676895
-44.098377,-2.8054836
50.88919,-9.353858
-39.313972,10.163984
-25.293074,38.102165
4.041994,10.26419
-50.16876,19.180727
26.708063,-5.761493
37.799446,-23.87623
16.088,2.3978934
-48.665657,4.7488046
-32.37408,30.271448
41.074253,-5.6127744
40.815777,-0.33855665
37.096943,23.83049
0.42227697,18.025509
-62.88761,2.238778
11.5969515,30.93074
-40.78912,11.637996
-34.319363,2.4137926
-20.094307,33.89047
29.120232,-0.87956613
-41.73474,6.400188
-27.945002,-2.3722897
-22.9028,-23.235352
-44.400337,-23.837215
-37.056786,1.3793948
16.86497,-19.827278
-14.228717,-34.293903
-18.048304,18.347586
14.681509,-41.324417
42.98481,7.601356
-37.04615,-32.25576
25.390682,-45.347626
-40.590797,20.19922
25.047718,36.524788
9.271592,-30.412136
-18.75995,0.102121316
-41.020992,14.178978
-62.404762,-1.6308852
-10.130847,-44.81554
-19.78589,-34.956524
-0.052423436,-29.399595
14.901052,14.245711
-53.159973,23.446468
-43.62281,16.468678
29.934826,-6.7105594
-39.24906,8.0139065
22.334206,-18.100529
29.22953,-32.80945
-49.533497,3.0534096
-60.54932,-5.610473
-21.626604,1.1503623
-0.3018159,45.410343
